Cathedral	Lutikko
Please buy medicine for me at the pharmacy	Mwattu ngulira eddagala ku famase
My leg is broken	Okugulu kwange kwamenyese
I need a receipt for my insurance	Netaaga lisiiti olwa yinsuwa
What time is it?	Ssaawa mmeka?
It is two o'clock	Ssaawa munaana
It is a quarter to four	Ebula kumi na ttaano okuwera ekumi
It is a qaurter past one	Edakiika kumi na ttaano eziyise ku musanvu
It is ten past four	Kumi ne ddakiika kumi
It is four thirty.	Kumi kitundu.
an hour	Ssaawa emu
One hour	Ssaawa emu
Two hours	Ssaawa bbiri
Three hours	Ssaawa satu
What the date today?	Ennaku z'omwezi mmeka olwa leero?
It is 31st July	Ziri asatu mu lumu ogwomusanvu
When did you arrive in Uganda?	Watuuka ddi mu Yuganda?
Two weeks ago	Sabbiiti bbiri eziyise
How long will you stay?	Onobeerawo kumala banga ki?
I'll be staying about two weeks	Nja kumala wiiki nga bbiri

